holdings_date,target_date,symbol,qty,usd,equity_usd,actual_weight,expected_signal_date,signal_date,target_weight,has_target,has_actual,matched,target_sign,actual_sign,sign_match,weight_diff,abs_weight_diff,big_gap,te_contribution,alignment
2024-12-02,,ADA,,,,0.0,2024-12-01,2024-12-01,-0.0021294648575673945,True,False,False,-1.0,0.0,False,0.0021294648575673945,0.0021294648575673945,False,0.0021294648575673945,wrong_t1
2024-12-02,,APT,,,,0.0,2024-12-01,2024-12-01,0.05466407050100939,True,False,False,1.0,0.0,False,-0.05466407050100939,0.05466407050100939,True,0.05466407050100939,wrong_t1
2024-12-02,,ARB,,,,0.0,2024-12-01,2024-12-01,0.006186145954608599,True,False,False,1.0,0.0,False,-0.006186145954608599,0.006186145954608599,False,0.006186145954608599,wrong_t1
2024-12-02,,AVAX,,,,0.0,2024-12-01,2024-12-01,0.03637529746130841,True,False,False,1.0,0.0,False,-0.03637529746130841,0.03637529746130841,True,0.03637529746130841,wrong_t1
2024-12-02,,BNB,,,,0.0,2024-12-01,2024-12-01,0.038302513700782206,True,False,False,1.0,0.0,False,-0.038302513700782206,0.038302513700782206,True,0.038302513700782206,wrong_t1
2024-12-02,,BTC,,,,0.0,2024-12-01,2024-12-01,-0.0241378379641536,True,False,False,-1.0,0.0,False,0.0241378379641536,0.0241378379641536,True,0.0241378379641536,wrong_t1
2024-12-02,,DOGE,,,,0.0,2024-12-01,2024-12-01,-0.006658059396826982,True,False,False,-1.0,0.0,False,0.006658059396826982,0.006658059396826982,False,0.006658059396826982,wrong_t1
2024-12-02,,DOT,,,,0.0,2024-12-01,2024-12-01,-0.02221062172467979,True,False,False,-1.0,0.0,False,0.02221062172467979,0.02221062172467979,True,0.02221062172467979,wrong_t1
2024-12-02,,ENA,,,,0.0,2024-12-01,2024-12-01,0.015350313709759224,True,False,False,1.0,0.0,False,-0.015350313709759224,0.015350313709759224,False,0.015350313709759224,wrong_t1
2024-12-02,,ENS,,,,0.0,2024-12-01,2024-12-01,-0.06896357864970037,True,False,False,-1.0,0.0,False,0.06896357864970037,0.06896357864970037,True,0.06896357864970037,wrong_t1
2024-12-02,,ETC,,,,0.0,2024-12-01,2024-12-01,0.036779794697495594,True,False,False,1.0,0.0,False,-0.036779794697495594,0.036779794697495594,True,0.036779794697495594,wrong_t1
2024-12-02,,ETH,,,,0.0,2024-12-01,2024-12-01,0.05047255699190581,True,False,False,1.0,0.0,False,-0.05047255699190581,0.05047255699190581,True,0.05047255699190581,wrong_t1
2024-12-02,,FET,,,,0.0,2024-12-01,2024-12-01,-0.010714740493868181,True,False,False,-1.0,0.0,False,0.010714740493868181,0.010714740493868181,False,0.010714740493868181,wrong_t1
2024-12-02,,FIL,,,,0.0,2024-12-01,2024-12-01,-0.060850216455617986,True,False,False,-1.0,0.0,False,0.060850216455617986,0.060850216455617986,True,0.060850216455617986,wrong_t1
2024-12-02,,FTM,,,,0.0,2024-12-01,2024-12-01,0.02001374066108121,True,False,False,1.0,0.0,False,-0.02001374066108121,0.02001374066108121,True,0.02001374066108121,wrong_t1
2024-12-02,,GALA,,,,0.0,2024-12-01,2024-12-01,-0.04874758937052559,True,False,False,-1.0,0.0,False,0.04874758937052559,0.04874758937052559,True,0.04874758937052559,wrong_t1
2024-12-02,,HBAR,,,,0.0,2024-12-01,2024-12-01,-0.03644271366733959,True,False,False,-1.0,0.0,False,0.03644271366733959,0.03644271366733959,True,0.03644271366733959,wrong_t1
2024-12-02,,LINK,,,,0.0,2024-12-01,2024-12-01,0.010647324287837,True,False,False,1.0,0.0,False,-0.010647324287837,0.010647324287837,False,0.010647324287837,wrong_t1
2024-12-02,,LTC,,,,0.0,2024-12-01,2024-12-01,0.05280427046756679,True,False,False,1.0,0.0,False,-0.05280427046756679,0.05280427046756679,True,0.05280427046756679,wrong_t1
2024-12-02,,NEAR,,,,0.0,2024-12-01,2024-12-01,-0.001994632445504997,True,False,False,-1.0,0.0,False,0.001994632445504997,0.001994632445504997,False,0.001994632445504997,wrong_t1
2024-12-02,,OP,,,,0.0,2024-12-01,2024-12-01,0.026267302821721007,True,False,False,1.0,0.0,False,-0.026267302821721007,0.026267302821721007,True,0.026267302821721007,wrong_t1
2024-12-02,,ORDI,,,,0.0,2024-12-01,2024-12-01,-0.02640213523378339,True,False,False,-1.0,0.0,False,0.02640213523378339,0.02640213523378339,True,0.02640213523378339,wrong_t1
2024-12-02,,PNUT,,,,0.0,2024-12-01,2024-12-01,0.026941464882032994,True,False,False,1.0,0.0,False,-0.026941464882032994,0.026941464882032994,True,0.026941464882032994,wrong_t1
2024-12-02,,RUNE,,,,0.0,2024-12-01,2024-12-01,0.041038724412630394,True,False,False,1.0,0.0,False,-0.041038724412630394,0.041038724412630394,True,0.041038724412630394,wrong_t1
2024-12-02,,SEI,,,,0.0,2024-12-01,2024-12-01,-0.01629414059419599,True,False,False,-1.0,0.0,False,0.01629414059419599,0.01629414059419599,False,0.01629414059419599,wrong_t1
2024-12-02,,SOL,,,,0.0,2024-12-01,2024-12-01,-0.018019108215576198,True,False,False,-1.0,0.0,False,0.018019108215576198,0.018019108215576198,False,0.018019108215576198,wrong_t1
2024-12-02,,SUI,,,,0.0,2024-12-01,2024-12-01,-0.015687394739915202,True,False,False,-1.0,0.0,False,0.015687394739915202,0.015687394739915202,False,0.015687394739915202,wrong_t1
2024-12-02,,TAO,,,,0.0,2024-12-01,2024-12-01,0.015552562327852813,True,False,False,1.0,0.0,False,-0.015552562327852813,0.015552562327852813,False,0.015552562327852813,wrong_t1
2024-12-02,,TIA,,,,0.0,2024-12-01,2024-12-01,0.008517859430269599,True,False,False,1.0,0.0,False,-0.008517859430269599,0.008517859430269599,False,0.008517859430269599,wrong_t1
2024-12-02,,TRX,,,,0.0,2024-12-01,2024-12-01,0.012102627085092403,True,False,False,1.0,0.0,False,-0.012102627085092403,0.012102627085092403,False,0.012102627085092403,wrong_t1
2024-12-02,,UNI,,,,0.0,2024-12-01,2024-12-01,0.05293910287962919,True,False,False,1.0,0.0,False,-0.05293910287962919,0.05293910287962919,True,0.05293910287962919,wrong_t1
2024-12-02,,WIF,,,,0.0,2024-12-01,2024-12-01,0.026671800057908198,True,False,False,1.0,0.0,False,-0.026671800057908198,0.026671800057908198,True,0.026671800057908198,wrong_t1
2024-12-02,,WLD,,,,0.0,2024-12-01,2024-12-01,-0.06091763266164918,True,False,False,-1.0,0.0,False,0.06091763266164918,0.06091763266164918,True,0.06091763266164918,wrong_t1
2024-12-02,,XLM,,,,0.0,2024-12-01,2024-12-01,-0.05665870294651439,True,False,False,-1.0,0.0,False,0.05665870294651439,0.05665870294651439,True,0.05665870294651439,wrong_t1
2024-12-02,,XRP,,,,0.0,2024-12-01,2024-12-01,-0.05479890291307178,True,False,False,-1.0,0.0,False,0.05479890291307178,0.05479890291307178,True,0.05479890291307178,wrong_t1
2024-12-03,,ADA,,,,0.0,2024-12-02,2024-12-02,-0.05012558534409974,True,False,False,-1.0,0.0,False,0.05012558534409974,0.05012558534409974,True,0.05012558534409974,wrong_t1
2024-12-03,,APT,,,,0.0,2024-12-02,2024-12-02,0.01989228058359773,True,False,False,1.0,0.0,False,-0.01989228058359773,0.01989228058359773,False,0.01989228058359773,wrong_t1
2024-12-03,,ARB,,,,0.0,2024-12-02,2024-12-02,0.07302025974674159,True,False,False,1.0,0.0,False,-0.07302025974674159,0.07302025974674159,True,0.07302025974674159,wrong_t1
